turno,jugador,propiedad,tipo,color,precio
3,carla,gris2,propiedad,gris,100
4,diego,estacion1,estacion,estacion,200
9,irene,gris1,propiedad,gris,100
13,carla,naranja2,propiedad,naranja,180
17,gema,rosa3,propiedad,rosa,160
18,hugo,naranja1,propiedad,naranja,180
19,irene,gris3,propiedad,gris,120
22,bob,rojo1,propiedad,rojo,220
23,carla,rojo3,propiedad,rojo,240
26,fernando,estacion2,estacion,estacion,200
31,ana,estacion3,estacion,estacion,200
32,bob,amarillo3,propiedad,amarillo,280
35,elena,verde1,propiedad,verde,300
38,hugo,amarillo1,propiedad,amarillo,260
43,carla,verde3,propiedad,verde,320
45,elena,estacion4,estacion,estacion,200
54,diego,morado1,propiedad,morado,60
75,elena,amarillo2,propiedad,amarillo,260
82,bob,rojo2,propiedad,rojo,220
84,diego,naranja3,propiedad,naranja,200
85,elena,azul2,propiedad,azul,400
92,bob,verde2,propiedad,verde,300
117,gema,rosa1,propiedad,rosa,140
155,elena,rosa2,propiedad,rosa,140
194,diego,morado2,propiedad,morado,60
221,ana,azul1,propiedad,azul,350
406,ana,estacion2,estacion,estacion,200
495,hugo,estacion3,estacion,estacion,200
