turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,dinero_antes_compra,dinero_despues_compra,propiedades_antes,propiedades_despues
1,1,ana,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,10000,10000,0,0
2,2,bob,5,6,11,1,12,no,rosa1,propiedad,140,rosa,si,10000,9860,0,1
3,1,ana,6,2,8,8,16,no,estacion2,estacion,200,estacion,si,10000,9800,0,1
4,2,bob,2,4,6,12,18,no,suerte3,suerte,0,ninguno,no,9860,9860,1,1
5,1,ana,4,3,7,16,23,no,suerte4,suerte,0,ninguno,no,9800,9800,1,1
6,2,bob,1,3,4,18,22,no,rojo1,propiedad,220,rojo,si,9860,9640,1,2
7,1,ana,4,4,8,23,31,no,carcel,carcel,0,ninguno,no,9800,9800,1,1
8,2,bob,3,2,5,22,27,no,amarillo1,propiedad,260,amarillo,si,9640,9380,2,3
9,1,ana,3,4,7,31,38,no,azul1,propiedad,350,azul,si,9800,9450,1,2
10,2,bob,2,3,5,27,32,no,verde1,propiedad,300,verde,si,9380,9080,3,4
11,1,ana,3,1,4,38,2,si,morado1,propiedad,60,morado,si,9450,9390,2,3
12,2,bob,6,2,8,32,40,no,azul2,propiedad,400,azul,si,9080,8680,4,5
13,1,ana,5,1,6,2,8,no,suerte2,suerte,0,ninguno,no,9390,9390,3,3
14,2,bob,1,1,2,40,2,si,morado1,propiedad,60,morado,no,8680,8680,5,5
15,1,ana,4,1,5,8,13,no,impuesto2,impuesto,150,ninguno,no,9390,9390,3,3
16,2,bob,1,5,6,2,8,no,suerte2,suerte,0,ninguno,no,8680,8680,5,5
17,1,ana,4,6,10,13,23,no,suerte4,suerte,0,ninguno,no,9390,9390,3,3
18,2,bob,2,1,3,8,11,no,visita_carcel,visita_carcel,0,ninguno,no,8680,8680,5,5
19,1,ana,6,5,11,23,34,no,suerte5,suerte,0,ninguno,no,9390,9390,3,3
20,2,bob,2,1,3,11,14,no,rosa2,propiedad,140,rosa,si,8680,8540,5,6
21,1,ana,6,4,10,34,4,si,morado2,propiedad,60,morado,si,9390,9330,3,4
22,2,bob,5,3,8,14,22,no,rojo1,propiedad,220,rojo,no,8540,8540,6,6
23,1,ana,1,2,3,4,7,no,gris1,propiedad,100,gris,si,9330,9230,4,5
24,2,bob,3,4,7,22,29,no,impuesto3,impuesto,100,ninguno,no,8540,8540,6,6
25,1,ana,1,4,5,7,12,no,rosa1,propiedad,140,rosa,no,9230,9230,5,5
26,2,bob,5,6,11,29,40,no,azul2,propiedad,400,azul,no,8540,8540,6,6
27,1,ana,4,2,6,12,18,no,suerte3,suerte,0,ninguno,no,9230,9230,5,5
28,2,bob,3,6,9,40,9,si,gris2,propiedad,100,gris,si,8540,8440,6,7
29,1,ana,2,4,6,18,24,no,rojo2,propiedad,220,rojo,si,9230,9010,5,6
30,2,bob,6,1,7,9,16,no,estacion2,estacion,200,estacion,no,8440,8440,7,7
31,1,ana,5,1,6,24,30,no,amarillo3,propiedad,280,amarillo,si,9010,8730,6,7
32,2,bob,1,1,2,16,18,no,suerte3,suerte,0,ninguno,no,8440,8440,7,7
33,1,ana,4,5,9,30,39,no,impuesto4,impuesto,100,ninguno,no,8730,8730,7,7
34,2,bob,2,5,7,18,25,no,rojo3,propiedad,240,rojo,si,8440,8200,7,8
35,1,ana,3,5,8,39,7,si,gris1,propiedad,100,gris,no,8730,8730,7,7
36,2,bob,2,6,8,25,33,no,verde2,propiedad,300,verde,si,8200,7900,8,9
37,1,ana,2,2,4,7,11,no,visita_carcel,visita_carcel,0,ninguno,no,8730,8730,7,7
38,2,bob,5,6,11,33,4,si,morado2,propiedad,60,morado,no,7900,7900,9,9
39,1,ana,3,4,7,11,18,no,suerte3,suerte,0,ninguno,no,8730,8730,7,7
40,2,bob,6,1,7,4,11,no,visita_carcel,visita_carcel,0,ninguno,no,7900,7900,9,9
41,1,ana,2,3,5,18,23,no,suerte4,suerte,0,ninguno,no,8730,8730,7,7
42,2,bob,6,2,8,11,19,no,naranja2,propiedad,180,naranja,si,7900,7720,9,10
43,1,ana,2,5,7,23,30,no,amarillo3,propiedad,280,amarillo,no,8730,8730,7,7
44,2,bob,3,5,8,19,27,no,amarillo1,propiedad,260,amarillo,no,7720,7720,10,10
45,1,ana,4,1,5,30,35,no,verde3,propiedad,320,verde,si,8730,8410,7,8
46,2,bob,2,5,7,27,34,no,suerte5,suerte,0,ninguno,no,7720,7720,10,10
47,1,ana,1,5,6,35,1,si,salida,salida,0,ninguno,no,8410,8410,8,8
48,2,bob,4,6,10,34,4,si,morado2,propiedad,60,morado,no,7720,7720,10,10
49,1,ana,3,1,4,1,5,no,impuesto1,impuesto,200,ninguno,no,8410,8410,8,8
50,2,bob,3,5,8,4,12,no,rosa1,propiedad,140,rosa,no,7720,7720,10,10
