turno,alquileres_acumulados,importe_acumulado
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,1,40
7,1,40
8,2,60
9,2,60
10,2,60
11,2,60
12,2,60
13,2,60
14,3,80
15,4,116
16,5,136
17,5,136
18,5,136
19,5,136
20,6,160
21,6,160
22,6,160
23,6,160
24,6,160
25,7,208
26,7,208
27,7,208
28,8,244
29,9,280
30,10,316
31,10,316
32,10,316
33,10,316
34,10,316
35,10,316
36,10,316
37,11,356
38,11,356
39,12,396
40,13,444
41,13,444
42,13,444
43,13,444
44,13,444
45,13,444
46,13,444
47,13,444
48,14,504
49,15,564
50,15,564
51,15,564
52,15,564
53,15,564
54,16,576
55,16,576
56,16,576
57,16,576
58,17,588
59,17,588
60,18,668
61,18,668
62,18,668
63,19,692
64,20,716
65,21,752
66,21,752
67,21,752
68,22,776
69,22,776
70,23,816
71,24,860
72,25,900
73,26,940
74,27,980
75,27,980
76,27,980
77,27,980
78,27,980
79,28,1012
80,28,1012
81,28,1012
82,28,1012
83,29,1056
84,29,1056
85,30,1136
86,30,1136
87,31,1176
88,32,1220
89,32,1220
90,32,1220
91,33,1280
92,34,1340
93,35,1400
94,36,1440
95,36,1440
96,37,1492
97,37,1492
98,37,1492
99,38,1544
100,38,1544
101,38,1544
102,38,1544
103,38,1544
104,39,1600
105,39,1600
106,40,1664
107,41,1716
108,41,1716
109,41,1716
110,42,1796
111,42,1796
112,43,1816
113,44,1856
114,45,1916
115,45,1916
116,46,1928
117,46,1928
118,47,1940
119,47,1940
120,48,1980
121,48,1980
122,49,2012
123,49,2012
124,50,2052
125,50,2052
126,51,2072
127,52,2152
128,52,2152
129,52,2152
130,52,2152
131,52,2152
132,52,2152
133,53,2196
134,53,2196
135,53,2196
136,54,2224
137,55,2236
138,56,2276
139,57,2304
140,58,2348
141,58,2348
142,59,2396
143,59,2396
144,60,2428
145,61,2468
146,62,2512
147,62,2512
148,63,2552
149,63,2552
150,64,2604
151,64,2604
152,65,2664
153,66,2724
154,66,2724
155,67,2752
156,67,2752
157,67,2752
158,67,2752
159,68,2804
160,68,2804
161,68,2804
162,69,2884
163,69,2884
164,69,2884
165,70,2920
166,71,2990
167,72,3030
168,72,3030
169,72,3030
170,73,3110
171,74,3146
172,75,3186
173,76,3198
174,77,3238
175,78,3278
176,78,3278
177,79,3330
178,80,3354
179,80,3354
180,81,3394
181,81,3394
182,82,3418
183,83,3446
184,83,3446
185,84,3506
186,85,3526
187,85,3526
188,85,3526
189,85,3526
190,85,3526
191,85,3526
192,86,3566
193,87,3610
194,88,3622
195,89,3634
196,90,3662
197,90,3662
198,91,3702
199,92,3730
200,93,3762
