turno,indice_jugador,jugador,dado1,dado2,suma,posicion_anterior,posicion_nueva,paso_salida,nombre_casilla,tipo_casilla,precio_casilla,color_casilla,compra_realizada,alquiler_realizado,alquiler_teorico,pago_real,dinero_inicial_turno,dinero_final_turno,propiedades_antes,propiedades_despues
1,1,ana,4,3,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
2,2,bob,1,3,4,1,5,no,impuesto1,impuesto,200,ninguno,no,no,0,0,10000,10000,0,0
3,3,carla,4,4,8,1,9,no,gris2,propiedad,100,gris,si,no,0,0,10000,9900,0,1
4,4,diego,3,2,5,1,6,no,estacion1,estacion,200,estacion,si,no,0,0,10000,9800,0,1
5,5,elena,3,4,7,1,8,no,suerte2,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
6,6,fernando,2,3,5,1,6,no,estacion1,estacion,200,estacion,no,si,40,40,10000,9960,0,0
7,7,gema,3,1,4,1,5,no,impuesto1,impuesto,200,ninguno,no,no,0,0,10000,10000,0,0
8,8,hugo,6,2,8,1,9,no,gris2,propiedad,100,gris,no,si,20,20,10000,9980,0,0
9,9,irene,5,1,6,1,7,no,gris1,propiedad,100,gris,si,no,0,0,10000,9900,0,1
10,10,javier,1,1,2,1,3,no,suerte1,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
11,1,ana,4,1,5,8,13,no,impuesto2,impuesto,150,ninguno,no,no,0,0,10000,10000,0,0
12,2,bob,1,5,6,5,11,no,visita_carcel,visita_carcel,0,ninguno,no,no,0,0,10000,10000,0,0
13,3,carla,4,6,10,9,19,no,naranja2,propiedad,180,naranja,si,no,0,0,9920,9740,1,2
14,4,diego,2,1,3,6,9,no,gris2,propiedad,100,gris,no,si,20,20,9840,9820,1,1
15,5,elena,6,5,11,8,19,no,naranja2,propiedad,180,naranja,no,si,36,36,10000,9964,0,0
16,6,fernando,2,1,3,6,9,no,gris2,propiedad,100,gris,no,si,20,20,9960,9940,0,0
17,7,gema,6,4,10,5,15,no,rosa3,propiedad,160,rosa,si,no,0,0,10000,9840,0,1
18,8,hugo,5,3,8,9,17,no,naranja1,propiedad,180,naranja,si,no,0,0,9980,9800,0,1
19,9,irene,1,2,3,7,10,no,gris3,propiedad,120,gris,si,no,0,0,9900,9780,1,2
20,10,javier,3,4,7,3,10,no,gris3,propiedad,120,gris,no,si,24,24,10000,9976,0,0
21,1,ana,1,4,5,13,18,no,suerte3,suerte,0,ninguno,no,no,0,0,10000,10000,0,0
22,2,bob,5,6,11,11,22,no,rojo1,propiedad,220,rojo,si,no,0,0,10000,9780,0,1
23,3,carla,4,2,6,19,25,no,rojo3,propiedad,240,rojo,si,no,0,0,9816,9576,2,3
24,4,diego,3,6,9,9,18,no,suerte3,suerte,0,ninguno,no,no,0,0,9820,9820,1,1
25,5,elena,2,4,6,19,25,no,rojo3,propiedad,240,rojo,no,si,48,48,9964,9916,0,0
26,6,fernando,6,1,7,9,16,no,estacion2,estacion,200,estacion,si,no,0,0,9940,9740,0,1
27,7,gema,5,1,6,15,21,no,parking,parking,0,ninguno,no,no,0,0,9840,9840,1,1
28,8,hugo,1,1,2,17,19,no,naranja2,propiedad,180,naranja,no,si,36,36,9800,9764,1,1
29,9,irene,4,5,9,10,19,no,naranja2,propiedad,180,naranja,no,si,36,36,9804,9768,2,2
30,10,javier,2,5,7,10,17,no,naranja1,propiedad,180,naranja,no,si,36,36,9976,9940,0,0
31,1,ana,3,5,8,18,26,no,estacion3,estacion,200,estacion,si,no,0,0,10000,9800,0,1
32,2,bob,2,6,8,22,30,no,amarillo3,propiedad,280,amarillo,si,no,0,0,9780,9500,1,2
