turno,pagador,cobrador,propiedad,tipo,color,precio_casilla,alquiler_teorico,pago_real,dinero_pagador_antes,dinero_pagador_despues,dinero_cobrador_antes,dinero_cobrador_despues
6,fernando,diego,estacion1,estacion,estacion,200,40,40,10000,9960,9800,9840
8,hugo,carla,gris2,propiedad,gris,100,20,20,10000,9980,9900,9920
14,diego,carla,gris2,propiedad,gris,100,20,20,9840,9820,9740,9760
15,elena,carla,naranja2,propiedad,naranja,180,36,36,10000,9964,9760,9796
16,fernando,carla,gris2,propiedad,gris,100,20,20,9960,9940,9796,9816
20,javier,irene,gris3,propiedad,gris,120,24,24,10000,9976,9780,9804
25,elena,carla,rojo3,propiedad,rojo,240,48,48,9964,9916,9576,9624
28,hugo,carla,naranja2,propiedad,naranja,180,36,36,9800,9764,9624,9660
29,irene,carla,naranja2,propiedad,naranja,180,36,36,9804,9768,9660,9696
30,javier,hugo,naranja1,propiedad,naranja,180,36,36,9976,9940,9764,9800
37,gema,ana,estacion3,estacion,estacion,200,40,40,9840,9800,9800,9840
39,irene,ana,estacion3,estacion,estacion,200,40,40,9768,9728,9840,9880
40,javier,carla,rojo3,propiedad,rojo,240,48,48,9940,9892,9696,9744
48,hugo,elena,verde1,propiedad,verde,300,60,60,9540,9480,9416,9476
49,irene,elena,verde1,propiedad,verde,300,60,60,9728,9668,9476,9536
54,diego,ana,morado1,propiedad,morado,60,12,12,9820,9808,9820,9832
58,hugo,ana,morado1,propiedad,morado,60,12,12,9480,9468,9832,9844
60,javier,fernando,azul2,propiedad,azul,400,80,80,9892,9812,9340,9420
63,carla,irene,gris3,propiedad,gris,120,24,24,9424,9400,9668,9692
64,diego,irene,gris3,propiedad,gris,120,24,24,9808,9784,9692,9716
65,elena,hugo,naranja1,propiedad,naranja,180,36,36,9536,9500,9468,9504
68,hugo,irene,gris3,propiedad,gris,120,24,24,9504,9480,9716,9740
70,javier,diego,estacion1,estacion,estacion,200,40,40,9812,9772,9784,9824
71,ana,bob,rojo1,propiedad,rojo,220,44,44,9844,9800,9500,9544
72,bob,fernando,estacion2,estacion,estacion,200,40,40,9544,9504,9360,9400
73,carla,fernando,estacion2,estacion,estacion,200,40,40,9400,9360,9400,9440
74,diego,fernando,estacion2,estacion,estacion,200,40,40,9824,9784,9440,9480
79,irene,gema,rosa3,propiedad,rosa,160,32,32,9740,9708,9500,9532
83,carla,bob,rojo1,propiedad,rojo,220,44,44,9360,9316,9284,9328
85,elena,fernando,azul2,propiedad,azul,400,80,80,9240,9160,9480,9560
87,gema,fernando,estacion2,estacion,estacion,200,40,40,9532,9492,9560,9600
88,hugo,bob,rojo1,propiedad,rojo,220,44,44,9480,9436,9328,9372
91,ana,gema,verde2,propiedad,verde,300,60,60,9800,9740,9492,9552
92,bob,gema,verde2,propiedad,verde,300,60,60,9372,9312,9552,9612
93,carla,gema,verde2,propiedad,verde,300,60,60,9316,9256,9612,9672
94,diego,ana,estacion3,estacion,estacion,200,40,40,9584,9544,9740,9780
96,fernando,elena,amarillo2,propiedad,amarillo,260,52,52,9600,9548,9160,9212
99,irene,elena,amarillo2,propiedad,amarillo,260,52,52,9708,9656,9212,9264
104,diego,bob,amarillo3,propiedad,amarillo,280,56,56,9544,9488,9312,9368
106,fernando,carla,verde3,propiedad,verde,320,64,64,9548,9484,9256,9320
107,gema,hugo,amarillo1,propiedad,amarillo,260,52,52,9672,9620,9436,9488
110,javier,fernando,azul2,propiedad,azul,400,80,80,9772,9692,9484,9564
112,bob,carla,gris2,propiedad,gris,100,20,20,9368,9348,9320,9340
113,carla,diego,estacion1,estacion,estacion,200,40,40,9340,9300,9488,9528
114,diego,gema,verde2,propiedad,verde,300,60,60,9528,9468,9620,9680
116,fernando,ana,morado1,propiedad,morado,60,12,12,9564,9552,9780,9792
118,hugo,fernando,morado2,propiedad,morado,60,12,12,9488,9476,9552,9564
120,javier,diego,estacion1,estacion,estacion,200,40,40,9692,9652,9468,9508
122,bob,gema,rosa3,propiedad,rosa,160,32,32,9348,9316,9680,9712
124,diego,elena,estacion4,estacion,estacion,200,40,40,9508,9468,9264,9304
126,fernando,irene,gris1,propiedad,gris,100,20,20,9564,9544,9656,9676
127,gema,fernando,azul2,propiedad,azul,400,80,80,9712,9632,9544,9624
133,carla,bob,rojo2,propiedad,rojo,220,44,44,9300,9256,9316,9360
136,fernando,javier,rosa2,propiedad,rosa,140,28,28,9624,9596,9512,9540
137,gema,ana,morado1,propiedad,morado,60,12,12,9632,9620,9652,9664
138,hugo,diego,naranja3,propiedad,naranja,200,40,40,9476,9436,9468,9508
139,irene,ana,rosa1,propiedad,rosa,140,28,28,9676,9648,9664,9692
140,javier,bob,rojo1,propiedad,rojo,220,44,44,9540,9496,9360,9404
142,bob,carla,rojo3,propiedad,rojo,240,48,48,9404,9356,9256,9304
144,diego,gema,rosa3,propiedad,rosa,160,32,32,9508,9476,9620,9652
145,elena,diego,estacion1,estacion,estacion,200,40,40,9304,9264,9476,9516
146,fernando,bob,rojo2,propiedad,rojo,220,44,44,9596,9552,9356,9400
148,hugo,ana,estacion3,estacion,estacion,200,40,40,9436,9396,9692,9732
150,javier,elena,amarillo2,propiedad,amarillo,260,52,52,9496,9444,9264,9316
152,bob,gema,verde2,propiedad,verde,300,60,60,9400,9340,9652,9712
153,carla,gema,verde2,propiedad,verde,300,60,60,9304,9244,9712,9772
155,elena,javier,rosa2,propiedad,rosa,140,28,28,9316,9288,9444,9472
159,irene,elena,amarillo2,propiedad,amarillo,260,52,52,9648,9596,9288,9340
162,bob,fernando,azul2,propiedad,azul,400,80,80,9340,9260,9552,9632
165,elena,carla,naranja2,propiedad,naranja,180,36,36,9340,9304,9244,9280
166,fernando,ana,azul1,propiedad,azul,350,70,70,9632,9562,9382,9452
167,gema,diego,naranja3,propiedad,naranja,200,40,40,9772,9732,9516,9556
170,javier,fernando,azul2,propiedad,azul,400,80,80,9472,9392,9562,9642
171,ana,carla,naranja2,propiedad,naranja,180,36,36,9452,9416,9280,9316
172,bob,diego,estacion1,estacion,estacion,200,40,40,9260,9220,9556,9596
173,carla,fernando,morado2,propiedad,morado,60,12,12,9316,9304,9642,9654
174,diego,elena,estacion4,estacion,estacion,200,40,40,9596,9556,9304,9344
175,elena,ana,estacion3,estacion,estacion,200,40,40,9344,9304,9416,9456
177,gema,hugo,amarillo1,propiedad,amarillo,260,52,52,9732,9680,9396,9448
178,hugo,irene,gris3,propiedad,gris,120,24,24,9448,9424,9596,9620
180,javier,diego,estacion1,estacion,estacion,200,40,40,9392,9352,9556,9596
182,bob,irene,gris3,propiedad,gris,120,24,24,9220,9196,9620,9644
183,carla,ana,rosa1,propiedad,rosa,140,28,28,9304,9276,9456,9484
185,elena,gema,verde2,propiedad,verde,300,60,60,9304,9244,9680,9740
186,fernando,carla,gris2,propiedad,gris,100,20,20,9654,9634,9276,9296
192,bob,fernando,estacion2,estacion,estacion,200,40,40,9196,9156,9634,9674
193,carla,bob,rojo1,propiedad,rojo,220,44,44,9296,9252,9156,9200
194,diego,fernando,morado2,propiedad,morado,60,12,12,9596,9584,9674,9686
195,elena,fernando,morado2,propiedad,morado,60,12,12,9244,9232,9686,9698
196,fernando,ana,rosa1,propiedad,rosa,140,28,28,9698,9670,9484,9512
198,hugo,ana,estacion3,estacion,estacion,200,40,40,9424,9384,9512,9552
199,irene,javier,rosa2,propiedad,rosa,140,28,28,9644,9616,9352,9380
200,javier,gema,rosa3,propiedad,rosa,160,32,32,9380,9348,9740,9772
201,ana,elena,estacion4,estacion,estacion,200,40,40,9552,9512,9232,9272
202,bob,hugo,amarillo1,propiedad,amarillo,260,52,52,9200,9148,9384,9436
203,carla,elena,amarillo2,propiedad,amarillo,260,52,52,9252,9200,9272,9324
205,elena,irene,gris3,propiedad,gris,120,24,24,9324,9300,9616,9640
206,fernando,carla,naranja2,propiedad,naranja,180,36,36,9670,9634,9200,9236
207,gema,irene,gris1,propiedad,gris,100,20,20,9772,9752,9640,9660
208,hugo,elena,amarillo2,propiedad,amarillo,260,52,52,9436,9384,9300,9352
210,javier,bob,rojo1,propiedad,rojo,220,44,44,9348,9304,9148,9192
211,ana,fernando,morado2,propiedad,morado,60,12,12,9512,9500,9634,9646
212,bob,carla,verde3,propiedad,verde,320,64,64,9192,9128,9236,9300
213,carla,elena,verde1,propiedad,verde,300,60,60,9300,9240,9352,9412
214,diego,bob,rojo2,propiedad,rojo,220,44,44,9584,9540,9128,9172
215,elena,hugo,naranja1,propiedad,naranja,180,36,36,9412,9376,9384,9420
216,fernando,ana,estacion3,estacion,estacion,200,40,40,9646,9606,9500,9540
217,gema,ana,rosa1,propiedad,rosa,140,28,28,9752,9724,9540,9568
218,hugo,elena,estacion4,estacion,estacion,200,40,40,9420,9380,9376,9416
219,irene,bob,amarillo3,propiedad,amarillo,280,56,56,9660,9604,9172,9228
220,javier,bob,amarillo3,propiedad,amarillo,280,56,56,9304,9248,9228,9284
221,ana,carla,gris2,propiedad,gris,100,20,20,9568,9548,9240,9260
222,bob,ana,morado1,propiedad,morado,60,12,12,9284,9272,9548,9560
223,carla,ana,azul1,propiedad,azul,350,70,70,9260,9190,9560,9630
227,gema,hugo,naranja1,propiedad,naranja,180,36,36,9724,9688,9380,9416
229,irene,elena,estacion4,estacion,estacion,200,40,40,9604,9564,9416,9456
230,javier,elena,estacion4,estacion,estacion,200,40,40,9248,9208,9456,9496
231,ana,diego,naranja3,propiedad,naranja,200,40,40,9630,9590,9540,9580
233,carla,diego,estacion1,estacion,estacion,200,40,40,9190,9150,9580,9620
235,elena,gema,verde2,propiedad,verde,300,60,60,9496,9436,9688,9748
237,gema,carla,naranja2,propiedad,naranja,180,36,36,9748,9712,9150,9186
242,bob,fernando,estacion2,estacion,estacion,200,40,40,9272,9232,9606,9646
245,elena,ana,morado1,propiedad,morado,60,12,12,9436,9424,9590,9602
246,fernando,irene,gris1,propiedad,gris,100,20,20,9646,9626,9564,9584
248,hugo,carla,naranja2,propiedad,naranja,180,36,36,9416,9380,9186,9222
249,irene,ana,rosa1,propiedad,rosa,140,28,28,9584,9556,9602,9630
251,ana,fernando,azul2,propiedad,azul,400,80,80,9630,9550,9626,9706
259,irene,carla,naranja2,propiedad,naranja,180,36,36,9556,9520,9222,9258
260,javier,fernando,estacion2,estacion,estacion,200,40,40,9208,9168,9706,9746
261,ana,irene,gris1,propiedad,gris,100,20,20,9550,9530,9520,9540
264,diego,gema,rosa3,propiedad,rosa,160,32,32,9620,9588,9712,9744
265,elena,carla,rojo3,propiedad,rojo,240,48,48,9424,9376,9258,9306
266,fernando,bob,rojo2,propiedad,rojo,220,44,44,9746,9702,9232,9276
267,gema,ana,morado1,propiedad,morado,60,12,12,9744,9732,9530,9542
269,irene,carla,rojo3,propiedad,rojo,240,48,48,9540,9492,9306,9354
270,javier,ana,estacion3,estacion,estacion,200,40,40,9168,9128,9542,9582
272,bob,ana,azul1,propiedad,azul,350,70,70,9276,9206,9582,9652
273,carla,elena,estacion4,estacion,estacion,200,40,40,9354,9314,9376,9416
275,elena,bob,amarillo3,propiedad,amarillo,280,56,56,9416,9360,9206,9262
277,gema,fernando,morado2,propiedad,morado,60,12,12,9732,9720,9702,9714
278,hugo,fernando,azul2,propiedad,azul,400,80,80,9380,9300,9714,9794
279,irene,elena,verde1,propiedad,verde,300,60,60,9492,9432,9360,9420
281,ana,hugo,naranja1,propiedad,naranja,180,36,36,9652,9616,9300,9336
283,carla,fernando,morado2,propiedad,morado,60,12,12,9314,9302,9794,9806
284,diego,carla,rojo3,propiedad,rojo,240,48,48,9588,9540,9302,9350
286,fernando,ana,azul1,propiedad,azul,350,70,70,9806,9736,9616,9686
288,hugo,diego,estacion1,estacion,estacion,200,40,40,9336,9296,9540,9580
289,irene,ana,azul1,propiedad,azul,350,70,70,9432,9362,9686,9756
292,bob,javier,rosa2,propiedad,rosa,140,28,28,9262,9234,9128,9156
294,diego,elena,amarillo2,propiedad,amarillo,260,52,52,9580,9528,9420,9472
295,elena,diego,estacion1,estacion,estacion,200,40,40,9472,9432,9528,9568
297,gema,diego,naranja3,propiedad,naranja,200,40,40,9720,9680,9568,9608
301,ana,bob,amarillo3,propiedad,amarillo,280,56,56,9756,9700,9234,9290
302,bob,diego,naranja3,propiedad,naranja,200,40,40,9290,9250,9608,9648
303,carla,fernando,estacion2,estacion,estacion,200,40,40,9350,9310,9736,9776
305,elena,javier,rosa2,propiedad,rosa,140,28,28,9432,9404,9156,9184
306,fernando,irene,gris3,propiedad,gris,120,24,24,9776,9752,9362,9386
307,gema,ana,estacion3,estacion,estacion,200,40,40,9680,9640,9700,9740
308,hugo,bob,rojo1,propiedad,rojo,220,44,44,9296,9252,9250,9294
309,irene,carla,gris2,propiedad,gris,100,20,20,9386,9366,9310,9330
